Country Name, Country Code, Continent, Population 2017
China,CHN,Asia,1386395000
India,IND,Asia,1339180127
United States,USA,North America,325719178
Indonesia,IND,Asia,263991379
Brazil,BRA,South America,2092882778
Pakistan,PAK,Asia,1970195955
Nigeria,NGA,Africa,190886331
Bangladesh,BGD,Asia,164669751
Russian Federation,RUS,Europe,144495044
Mexico,MEX,North America,129163276
Japan,JPN,Asia,126785797
Ethiopia,ETH,Afirca,104957438
Phillippines,PHL,Asia,104918090
"Egypt, Arab Rep.",EGY,Africa,97553151
Vietman,VMN,Asia,95586789
Germany,DEU,Europe,82695000
"Congo, Dem. Rep.",COD,Africa,81339687
"Iran, Islamic Rep.",IRN,Asia,81162788
Land of Boobs and Butts,LBB,South America,111111111